button_pressed,high_stakes,initial_points,multiplier,no_bonus,points,responses,rt,states,stimulus,time_elapsed,times,trial_type,pid
,False,22.0,1.0,False,3.0,,,"[u'F:B,D,A,C,E:', u'F:B,D,A,C:E', u'F:B,D,A:E,C', u'F:B,D:E,C,A', u'F:B:E,C,A,D', u'F::E,C,A,D,B', u':F:E,C,A,D,B', u'B:F:E,C,A,D', u'B,D:F:E,C,A', u'B,D,A:F:E,C', u'B,D,A,C:F:E', u'B,D,A,C:F,E:', u'B,D,A:F,E:C', u'B,D:F,E:C,A', u'B:F,E,D:C,A', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,340296,"[1920, 2717, 3420, 4213, 5820, 7060, 8041, 8971, 10072, 11253, 12486, 13314, 14214, 15457, 16411, 17725, 19028, 20914, 22295]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u'F,E,A:B,C:D', u'F,E:B,C:D,A', u'F,E:B:D,A,C', u'F:B:D,A,C,E', u'F::D,A,C,E,B', u':F:D,A,C,E,B', u'B:F:D,A,C,E', u'B:F,E:D,A,C', u'B,C:F,E:D,A', u'B,C,A:F,E:D', u'B,C,A:F,E,D:', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,360993,"[2776, 3729, 4910, 6142, 7278, 8396, 10078, 10935, 11999, 13254, 14702, 16399, 17854, 19715]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u'F:D,A,B,C:E', u'F:D,A,B:E,C', u'F:D,A:E,C,B', u'F:D:E,C,B,A', u'F::E,C,B,A,D', u':F:E,C,B,A,D', u'D:F:E,C,B,A', u'D,A:F:E,C,B', u'D,A,B:F:E,C', u'D,A,B,C:F:E', u'D,A,B,C:F,E:', u'D,A,B:F,E:C', u'D,A:F,E:C,B', u'D:F,E:C,B,A', u':F,E,D:C,B,A', u'A:F,E,D:C,B', u'A,B:F,E,D:C', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,384326,"[1986, 2604, 3398, 4357, 5633, 6604, 7434, 8462, 9572, 10700, 11610, 12544, 14196, 15513, 16302, 17429, 19294, 20976, 22341]",blockworld,13
,False,22.0,1.0,False,8.0,,,"[u'F,D:B,C:E,A', u'F:B,C:E,A,D', u'F:B:E,A,D,C', u'F::E,A,D,C,B', u':F:E,A,D,C,B', u'B:F:E,A,D,C', u'B,C:F:E,A,D', u'B,C,D:F:E,A', u'B,C,D,A:F:E', u'B,C,D,A:F,E:', u'B,C,D:F,E:A', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,402696,"[2309, 3003, 4279, 6431, 7435, 8209, 9398, 10445, 11555, 12406, 13712, 15050, 16057, 17466]",blockworld,13
,False,22.0,1.0,False,2.0,,,"[u'E:D,B,A,C:F', u'E,C:D,B,A:F', u'E,C,A:D,B:F', u'E,C,A,B:D:F', u'E,C,A,B,D::F', u'E,C,A,B,D:F:', u'E,C,A,B:F:D', u'E,C,A:F:D,B', u'E,C:F:D,B,A', u'E:F:D,B,A,C', u':F,E:D,B,A,C', u'C:F,E:D,B,A', u'C,A:F,E:D,B', u'C,A,B:F,E:D', u'C,A,B:F,E,D:', u'C,A:F,E,D:B', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,428823,"[1735, 2337, 4728, 5896, 6799, 7731, 8512, 9673, 10800, 12371, 13115, 13896, 15486, 16656, 17803, 19102, 20421, 21712, 23591, 25010]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u'E:C:F,B,A,D', u'E,D:C:F,B,A', u'E,D,A:C:F,B', u'E,D,A,B:C:F', u'E,D,A,B,C::F', u'E,D,A,B,C:F:', u'E,D,A,B:F:C', u'E,D,A:F:C,B', u'E,D:F:C,B,A', u'E:F:C,B,A,D', u':F,E:C,B,A,D', u':F,E,D:C,B,A', u'A:F,E,D:C,B', u'A,B:F,E,D:C', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,451057,"[5457, 6378, 7611, 8750, 9861, 10872, 11658, 12429, 13247, 14653, 15747, 16510, 17944, 18897, 20077, 21242]",blockworld,13
,False,24.0,1.0,False,9.0,,,"[u':A,C,E,F:D,B', u'F:A,C,E:D,B', u'F,E:A,C:D,B', u'F,E:A:D,B,C', u'F,E::D,B,C,A', u'F::D,B,C,A,E', u':F:D,B,C,A,E', u':F,E:D,B,C,A', u'A:F,E:D,B,C', u'A,C:F,E:D,B', u'A,C,B:F,E:D', u'A,C,B:F,E,D:', u'A,C:F,E,D:B', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,472471,"[3710, 4326, 6320, 7390, 8233, 9249, 10568, 11641, 12556, 13689, 14945, 15829, 17420, 18603, 20557]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u'E:C,A,D:F,B', u'E,D:C,A:F,B', u'E,D,A:C:F,B', u'E,D,A,B:C:F', u'E,D,A,B,C::F', u'E,D,A,B,C:F:', u'E,D,A,B:F:C', u'E,D,A:F:C,B', u'E,D:F:C,B,A', u'E:F:C,B,A,D', u':F,E:C,B,A,D', u':F,E,D:C,B,A', u'A:F,E,D:C,B', u'A,B:F,E,D:C', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,493148,"[1815, 2555, 3472, 4356, 5468, 6552, 7351, 8288, 10816, 12501, 13741, 14522, 15609, 17078, 18386, 19822]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u'E,B:A,D:F,C', u'E,B,D:A:F,C', u'E,B,D,C:A:F', u'E,B,D,C,A::F', u'E,B,D,C,A:F:', u'E,B,D,C:F:A', u'E,B,D:F:A,C', u'E,B:F:A,C,D', u'E:F:A,C,D,B', u':F,E:A,C,D,B', u'B:F,E:A,C,D', u'B:F,E,D:A,C', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,510351,"[1937, 2749, 4270, 5221, 6122, 6895, 7686, 8705, 10091, 10983, 12135, 13258, 14891, 16400]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u'D,E::F,C,B,A', u'D,E,A::F,C,B', u'D,E,A,B::F,C', u'D,E,A,B,C::F', u'D,E,A,B,C:F:', u'D,E,A,B:F:C', u'D,E,A:F:C,B', u'D,E:F:C,B,A', u'D:F,E:C,B,A', u':F,E,D:C,B,A', u'A:F,E,D:C,B', u'A,B:F,E,D:C', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,529218,"[3196, 4035, 5228, 6354, 7223, 7980, 8825, 9833, 11490, 12483, 13491, 15131, 16680, 17985]",blockworld,13
,False,20.0,1.0,False,4.0,,,"[u'F,B,A,D:C:E', u'F,B,A,D::E,C', u'F,B,A::E,C,D', u'F,B::E,C,D,A', u'F::E,C,D,A,B', u':F:E,C,D,A,B', u'B:F:E,C,D,A', u'B,A:F:E,C,D', u'B,A,D:F:E,C', u'B,A,D,C:F:E', u'B,A,D,C:F,E:', u'B,A,D:F,E:C', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,550656,"[3768, 4612, 5643, 6661, 7455, 9575, 10187, 10926, 11848, 13264, 14030, 15155, 16780, 18130, 19166, 20730]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u':B,D,A,C,E:F', u'E:B,D,A,C:F', u'E,C:B,D,A:F', u'E,C,A:B,D:F', u'E,C,A,D:B:F', u'E,C,A,D,B::F', u'E,C,A,D,B:F:', u'E,C,A,D:F:B', u'E,C,A:F:B,D', u'E,C:F:B,D,A', u'E:F:B,D,A,C', u':F,E:B,D,A,C', u'C:F,E:B,D,A', u'C,A:F,E:B,D', u'C,A:F,E,D:B', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,584066,"[2336, 2972, 3534, 4310, 5500, 8295, 15153, 17566, 18342, 19342, 22262, 23046, 23890, 24882, 25955, 27342, 28409, 30002, 31747]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u'D,B:A,C,E,F:', u'D,B,F:A,C,E:', u'D,B,F:A,C:E', u'D,B,F:A:E,C', u'D,B,F::E,C,A', u'D,B::E,C,A,F', u'D,B:F:E,C,A', u'D,B:F,A:E,C', u'D,B,A:F:E,C', u'D,B,A,C:F:E', u'D,B,A,C:F,E:', u'D,B,A:F,E:C', u'D,B:F,E:C,A', u'D:F,E:C,A,B', u':F,E,D:C,A,B', u'B:F,E,D:C,A', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,684203,"[30749, 36154, 36947, 37955, 38806, 71121, 72240, 73286, 74277, 75519, 76402, 77260, 78819, 80329, 81256, 82350, 94988, 96638, 97997, 99270]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u'F,C,A,B::E,D', u'F,C,A::E,D,B', u'F,C::E,D,B,A', u'F::E,D,B,A,C', u':F:E,D,B,A,C', u'C:F:E,D,B,A', u'C,A:F:E,D,B', u'C,A,B:F:E,D', u'C,A,B,D:F:E', u'C,A,B,D:F,E:', u'C,A,B:F,E,D:', u'C,A:F,E,D:B', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,803790,"[2361, 3274, 4653, 8784, 106243, 107027, 107925, 109144, 110458, 111442, 112264, 113587, 114718, 116092, 117679, 118885]",blockworld,13
,False,20.0,1.0,False,3.0,,,"[u'F,C:A,D:E,B', u'F,C:A:E,B,D', u'F,C::E,B,D,A', u'F::E,B,D,A,C', u':F:E,B,D,A,C', u':F,C:E,B,D,A', u'C:F:E,B,D,A', u'C,A:F:E,B,D', u'C,A,D:F:E,B', u'C,A,D,B:F:E', u'C,A,D,B:F,E:', u'C,A,D:F,E:B', u'C,A:F,E,D:B', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,827326,"[2165, 3321, 4165, 5400, 6073, 7066, 8083, 8847, 9840, 13199, 14168, 15192, 16740, 18326, 19989, 21170, 22483]",blockworld,13
,False,17.0,1.0,False,4.0,,,"[u':B,D,C,A:F,E', u'A:B,D,C:F,E', u'A,C:B,D:F,E', u'A,C,D:B:F,E', u'A,C,D:B,E:F', u'A,C,D,E:B:F', u'A,C,D,E,B::F', u'A,C,D,E,B:F:', u'A,C,D,E:F:B', u'A,C,D:F,E:B', u'A,C:F,E,D:B', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,966094,"[124237, 125071, 125889, 126631, 127702, 129038, 130309, 132097, 133272, 134417, 135365, 136829, 137896]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u'F,C,D,A:B:E', u'F,C,D:B:E,A', u'F,C:B:E,A,D', u'F:B:E,A,D,C', u'F::E,A,D,C,B', u':F:E,A,D,C,B', u'B:F:E,A,D,C', u'B,C:F:E,A,D', u'B,C,D:F:E,A', u'B,C,D,A:F:E', u'B,C,D,A:F,E:', u'B,C,D:F,E:A', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,985592,"[4200, 5029, 5834, 6757, 7902, 9006, 9978, 10851, 11882, 13436, 14170, 15326, 16577, 17600, 18771]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u'E,A:B,C:F,D', u'E,A,C:B:F,D', u'E,A,C,D:B:F', u'E,A,C,D,B::F', u'E,A,C,D,B:F:', u'E,A,C,D:F:B', u'E,A,C:F:B,D', u'E,A:F:B,D,C', u'E:F,A:B,D,C', u'E:F:B,D,C,A', u':F,E:B,D,C,A', u'A:F,E:B,D,C', u'A,C:F,E:B,D', u'A,C:F,E,D:B', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,1005733,"[2346, 3089, 4205, 5390, 6392, 7393, 8276, 9136, 10630, 12408, 13122, 13926, 15236, 16670, 17672, 18998]",blockworld,13
,False,18.0,1.0,False,3.0,,,"[u'D:B,A:F,E,C', u'D,A:B:F,E,C', u'D,A,B::F,E,C', u'D,A,B,C::F,E', u'D,A,B,C,E::F', u'D,A,B,C,E:F:', u'D,A,B,C:F,E:', u'D,A,B:F,E:C', u'D,A:F,E:C,B', u'D:F,E:C,B,A', u':F,E,D:C,B,A', u'A:F,E,D:C,B', u'A,B:F,E,D:C', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,1026029,"[1921, 2849, 3834, 5020, 5995, 7345, 8083, 9205, 10231, 12163, 12829, 14210, 16336, 17657, 19390]",blockworld,13
,False,20.0,1.0,False,4.0,,,"[u'F,B:C,A,D:E', u'F,B:C,A:E,D', u'F,B:C:E,D,A', u'F:C:E,D,A,B', u'F::E,D,A,B,C', u':F:E,D,A,B,C', u'C:F:E,D,A,B', u'C,B:F:E,D,A', u'C,B,A:F:E,D', u'C,B,A,D:F:E', u'C,B,A,D:F,E:', u'C,B,A:F,E,D:', u'C,B:F,E,D:A', u'C:F,E,D:A,B', u':F,E,D,C:A,B', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,1045156,"[1817, 2495, 3691, 4763, 6014, 6693, 7293, 8089, 9085, 10382, 12091, 12857, 13772, 15521, 16828, 18117]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u'F:D,B,A,C:E', u'F:D,B,A:E,C', u'F:D,B:E,C,A', u'F:D:E,C,A,B', u'F::E,C,A,B,D', u':F:E,C,A,B,D', u'D:F:E,C,A,B', u'D,B:F:E,C,A', u'D,B,A:F:E,C', u'D,B,A,C:F:E', u'D,B,A,C:F,E:', u'D,B,A:F,E:C', u'D,B:F,E:C,A', u'D:F,E:C,A,B', u':F,E,D:C,A,B', u'B:F,E,D:C,A', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,1071129,"[3028, 3621, 4261, 5580, 6629, 7683, 8419, 9158, 10395, 11338, 12261, 13124, 14427, 15865, 16889, 18059, 20522, 22014, 23616, 25169]",blockworld,13
,False,17.0,1.0,False,3.0,,,"[u'D:B,C:F,E,A', u'D,A:B,C:F,E', u'D,A,C:B:F,E', u'D,A,C,B::F,E', u'D,A,C,B,E::F', u'D,A,C,B,E:F:', u'D,A,C,B:F,E:', u'D,A,C:F,E:B', u'D,A:F,E:B,C', u'D:F,E:B,C,A', u':F,E,D:B,C,A', u'A:F,E,D:B,C', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,1089750,"[4186, 4830, 5631, 6633, 7530, 8603, 9424, 10176, 11095, 12657, 13518, 14549, 16472, 17721]",blockworld,13
,False,20.0,1.0,False,7.0,,,"[u'D,B:A:F,C,E', u'D,B,E:A:F,C', u'D,B,E,C:A:F', u'D,B,E,C,A::F', u'D,B,E,C,A:F:', u'D,B,E,C:F:A', u'D,B,E:F:A,C', u'D,B:F,E:A,C', u'D:F,E:A,C,B', u':F,E,D:A,C,B', u'B:F,E,D:A,C', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,1108301,"[1716, 2483, 4156, 5567, 6586, 7667, 9076, 10352, 11852, 12784, 13883, 15449, 17525]",blockworld,13
,False,0.0,0.0,True,0.0,,,"[u':D,A,C,E:F,B', u'E:D,A,C:F,B', u'E,C:D,A:F,B', u'E,C,A:D:F,B', u'E,C,A,D::F,B', u'E,C,A,D,B::F', u'E,C,A,D,B:F:', u'E,C,A,D:F:B', u'E,C,A:F:B,D', u'E,C:F:B,D,A', u'E:F:B,D,A,C', u':F,E:B,D,A,C', u'C:F,E:B,D,A', u'C,A:F,E:B,D', u'C,A:F,E,D:B', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,1130975,"[1490, 2288, 3060, 3760, 4642, 5554, 6602, 7498, 8483, 9919, 10954, 12341, 13312, 14890, 16006, 17649, 19009, 20266, 21813]",blockworld,13
,False,21.0,1.0,False,2.0,,,"[u'E:D,A,B,C:F', u'E,C:D,A,B:F', u'E,C,B:D,A:F', u'E,C,B,A:D:F', u'E,C,B,A,D::F', u'E,C,B,A,D:F:', u'E,C,B,A:F:D', u'E,C,B:F:D,A', u'E,C:F:D,A,B', u'E:F:D,A,B,C', u':F,E:D,A,B,C', u'C:F,E:D,A,B', u'C,B:F,E:D,A', u'C,B,A:F,E:D', u'C,B,A:F,E,D:', u'C,B:F,E,D:A', u'C:F,E,D:A,B', u':F,E,D,C:A,B', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,1156044,"[3198, 3900, 4646, 7258, 8506, 9533, 10377, 11213, 12387, 13977, 14783, 15581, 16643, 18058, 19005, 20283, 21639, 22753, 23950]",blockworld,13
,False,6.0,1.0,False,3.0,,,"[u'A,C::B', u'A:C:B', u'A:C,B:', u':C,B,A:']",,23853,"[4560, 6875, 7716]",blockworld,4
,False,0.0,0.0,True,0.0,,,"[u':A,B,D:C', u':A,B:C,D', u':A:C,D,B', u'A::C,D,B', u'A,B::C,D', u'A,B:D:C', u'A,B:D,C:', u'A:D,C,B:', u':D,C,B,A:']",,39307,"[5047, 7535, 8328, 9127, 11134, 12004, 12900, 14117]",blockworld,4
,False,22.0,1.0,False,5.0,,,"[u'E,C:B,A:D', u'E,C:B:D,A', u'E:B,C:D,A', u'E:B,C,A:D', u'E,D:B,C,A:', u'E,D:B,C:A', u'E,D,C:B:A', u'E,D,C,B::A', u'E,D,C,B,A::', u'E,D,C,B::A', u'E,D,C::A,B', u'E,D::A,B,C', u'E::A,B,C,D', u':E:A,B,C,D', u':E,D:A,B,C', u':E,D,C:A,B', u':E,D,C,B:A', u':E,D,C,B,A:']",,71881,"[5383, 7545, 8203, 10104, 11623, 12424, 13257, 14376, 22617, 23483, 24344, 25301, 28118, 29061, 29736, 30487, 31616]",blockworld,4
,False,0.0,0.0,True,0.0,,,"[u'E:C,A,D:F,B', u'E:C,A,D,B:F', u':C,A,D,B:F,E', u'B:C,A,D:F,E', u'B:C,A:F,E,D', u'B,A:C:F,E,D', u'B,A::F,E,D,C', u'B:A:F,E,D,C', u':A:F,E,D,C,B', u'::F,E,D,C,B,A', u'A::F,E,D,C,B', u'A,B::F,E,D,C', u'A,B,C::F,E,D', u'A,B,C,D::F,E', u'A,B,C,D,E::F', u'A,B,C,D,E:F:', u'A,B,C,D:F,E:', u'A,B,C:F,E,D:', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,108455,"[12591, 14312, 15456, 16706, 17685, 18660, 19800, 20728, 21739, 25825, 26727, 27545, 28544, 29656, 30501, 31373, 32033, 32748, 33454, 34819]",blockworld,4
,False,20.0,1.0,False,0.0,,,"[u'E,B:A,D:F,C', u'E,B:A:F,C,D', u'E,B::F,C,D,A', u'E::F,C,D,A,B', u'E,B::F,C,D,A', u'E,B,A::F,C,D', u'E,B,A,D::F,C', u'E,B,A,D,C::F', u'E,B,A,D,C:F:', u'E,B,A,D:F:C', u'E,B,A:F:C,D', u'E,B:F:C,D,A', u'E:F:C,D,A,B', u':F,E:C,D,A,B', u'B:F,E:C,D,A', u'B,A:F,E:C,D', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,162840,"[18058, 19194, 23965, 28009, 39596, 40468, 41372, 42231, 43210, 44085, 44753, 45757, 46606, 47415, 48356, 49237, 50232, 51356, 52271, 53364]",blockworld,4
,False,0.0,0.0,True,0.0,,,"[u'F,C,B,A::D,E', u'F,C,B::D,E,A', u'F,C::D,E,A,B', u'F::D,E,A,B,C', u':F:D,E,A,B,C', u'C:F:D,E,A,B', u'C,B:F:D,E,A', u'C,B,A:F:D,E', u'C,B,A:F,E:D', u'C,B,A:F,E,D:', u'C,B:F,E,D:A', u'C:F,E,D:A,B', u':F,E,D,C:A,B', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,178268,"[2952, 3773, 4469, 5366, 6391, 7257, 7991, 8840, 9643, 10301, 11159, 12832, 13745, 14719]",blockworld,4
,False,24.0,1.0,False,5.0,,,"[u'F,B:D,A,C,E:', u'F,B:D,A,C:E', u'F,B:D,A:E,C', u'F,B:D:E,C,A', u'F,B::E,C,A,D', u'F::E,C,A,D,B', u':F:E,C,A,D,B', u'B:F:E,C,A,D', u'B,D:F:E,C,A', u'B,D,A:F:E,C', u'B,D,A,C:F:E', u'B,D,A,C:F,E:', u'B,D,A:F,E:C', u'B,D:F,E:C,A', u'B:F,E,D:C,A', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,202306,"[4344, 4972, 5555, 7790, 8780, 9543, 10654, 12452, 13645, 14399, 15343, 16261, 17028, 18052, 18750, 20852, 21607, 22422, 23064]",blockworld,4
